Time (s),Channel 1 (V),Channel 2 (V)
-0.002580054200795694,2.002115822525309,1.99703953135486
-0.002579424200795694,1.999477163321936,1.99737212734085
-0.002578794200795694,1.997168336518983,1.99737212734085
-0.002578164200795694,1.997498168919406,1.99737212734085
-0.002577534200795694,1.99848766612067,1.99737212734085
-0.002576904200795694,2.001456157724466,1.99703953135486
-0.002576274200795694,2.001456157724466,1.99703953135486
-0.002575644200795694,2.001785990124887,1.99737212734085
-0.002575014200795694,1.999147330921514,1.99770472332684
-0.002574384200795694,1.996838504118563,1.99737212734085
-0.002573754200795694,1.996838504118562,1.99770472332684
-0.002573124200795694,1.997828001319829,1.99737212734085
-0.002572494200795694,2.002775487326152,1.99737212734085
-0.002571864200795694,2.00244565492573,1.99737212734085
-0.002571234200795694,2.002115822525307,1.99703953135486
-0.002570604200795694,1.999477163321935,1.99737212734085
-0.002569974200795694,1.997828001319827,1.99737212734085
-0.002569344200795694,1.997498168919405,1.99737212734085
-0.002568714200795694,1.997498168919405,1.99737212734085
-0.002568084200795694,2.003435152126996,1.99703953135486
-0.002567454200795694,2.003105319726574,1.99670693536887
-0.002566824200795694,2.002775487326152,1.99703953135486
-0.002566194200795694,2.000136828122778,1.99737212734085
-0.002565564200795694,1.997828001319827,1.99703953135486
-0.002564934200795694,1.998157833720248,1.99670693536887
-0.002564304200795694,1.99848766612067,1.99737212734085
-0.002563674200795694,2.002115822525309,1.99737212734085
-0.002563044200795694,2.002115822525309,1.99737212734085
-0.002562414200795694,2.001785990124887,1.99737212734085
-0.002561784200795694,2.0004666605232,1.99703953135486
-0.002561154200795694,1.997498168919405,1.99737212734085
-0.002560524200795694,1.997828001319827,1.99737212734085
-0.002559894200795694,1.996838504118562,1.99737212734085
-0.002559264200795694,2.001126325324042,1.99737212734085
-0.002558634200795694,2.002115822525309,1.99703953135486
-0.002558004200795694,2.001785990124887,1.99703953135486
-0.002557374200795694,2.00244565492573,1.99737212734085
-0.002556744200795694,2.001456157724466,1.99770472332684
-0.002556114200795694,2.001456157724466,1.99770472332684
-0.002555484200795694,2.001126325324044,1.99703953135486
-0.002554854200795694,2.001785990124887,1.99703953135486
-0.002554224200795694,2.001785990124887,1.99770472332684
-0.002553594200795694,2.002115822525309,1.99770472332684
-0.002552964200795694,2.002115822525309,1.99737212734085
-0.002552334200795694,2.001785990124887,1.99703953135486
-0.002551704200795694,2.001126325324044,1.99703953135486
-0.002551074200795694,2.001126325324044,1.99737212734085
-0.002550444200795694,2.001126325324044,1.99737212734085
-0.002549814200795694,2.001126325324044,1.99737212734085
-0.002549184200795694,2.001456157724466,1.99737212734085
-0.002548554200795694,2.001456157724466,1.99737212734085
-0.002547924200795694,2.001456157724466,1.99737212734085
-0.002547294200795694,2.001456157724466,1.99703953135486
-0.002546664200795694,2.001785990124887,1.99737212734085
-0.002546034200795694,2.001126325324044,1.99703953135486
-0.002545404200795694,2.001785990124887,1.99703953135486
-0.002544774200795694,2.002115822525309,1.99670693536887
-0.002544144200795694,2.001456157724466,1.99703953135486
-0.002543514200795694,2.001785990124887,1.99703953135486
-0.002542884200795694,2.001785990124887,1.99737212734085
-0.002542254200795694,2.001126325324044,1.99737212734085
-0.002541624200795694,2.002115822525309,1.99703953135486
-0.002540994200795694,2.001456157724466,1.99670693536887
-0.002540364200795694,2.001456157724466,1.99737212734085
-0.002539734200795694,2.001785990124887,1.99737212734085
-0.002539104200795694,2.001126325324044,1.99703953135486
-0.002538474200795694,2.000796492923622,1.99737212734085
-0.002537844200795694,2.000796492923622,1.99770472332684
-0.002537214200795694,2.000136828122779,1.99737212734085
-0.002536584200795694,2.0004666605232,1.99703953135486
-0.002535954200795694,2.001126325324044,1.99703953135486
-0.002535324200795694,2.001456157724466,1.99703953135486
-0.002534694200795694,2.0004666605232,1.99737212734085
-0.002534064200795694,2.000136828122779,1.99770472332684
-0.002533434200795694,2.001456157724466,1.99803731931283
-0.002532804200795694,2.001456157724466,1.99770472332684
-0.002532174200795694,2.000796492923623,1.99737212734085
-0.002531544200795694,2.000796492923622,1.99703953135486
-0.002530914200795694,2.000136828122779,1.99703953135486
-0.002530284200795694,2.0004666605232,1.99737212734085
-0.002529654200795694,2.000796492923622,1.99737212734085
-0.002529024200795694,2.001456157724466,1.99703953135486
-0.002528394200795694,2.001456157724466,1.99703953135486
-0.002527764200795694,2.001456157724466,1.99737212734085
