#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A374FA
#Date Time: 2023-12-05 10:58:32.522
#Start: 50 Hz
#Stop: 100000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44986 V
#Offset: -0.000129861 V
#Relative: no
#Channel: Channel 2
#Range: 5.45616 V
#Offset: -0.00028489 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000004,-0.00306413256741637,-23.69855413859221,86.17032479869152
52.59892532712838,-0.003151060871915694,-23.26226197847108,85.98777376385182
55.33293891137646,-0.003110950738250662,-22.82333616059012,85.79268969141236
58.20906243860089,-0.003126824800284078,-22.38674804979372,85.55605276102619
61.23468257140239,-0.002775852622125832,-21.95025317864294,85.32894175194919
64.41756992007203,-0.002981024653693938,-21.51394586486515,85.10639459840846
67.76589899961876,-0.00312475154081866,-21.07534387698993,84.84995475379452
71.28826922413329,-0.003036084984859786,-20.64020082288578,84.59461531576551
74.99372699240817,-0.003009476728940206,-20.20414254643718,84.32350541415943
78.89178892153453,-0.002943173330377062,-19.76946120253158,84.03315445894694
82.99246628814731,-0.002991488275152353,-19.33455364118934,83.73108731757065
87.30629074008954,-0.002932151508159764,-18.89952104208735,83.40807770154322
91.84434134453042,-0.002897790169958637,-18.46598474557008,83.07095910202349
96.61827304200484,-0.002876798773460664,-18.03390147729883,82.71835207512476
101.6403465794502,-0.002926017845488037,-17.60161666435615,82.34721013143388
106.9234599991189,-0.002882309177090199,-17.1673712178937,81.96285272086067
112.481181764237,-0.002835965049816431,-16.73567400789768,81.55435430468657
118.3277856064849,-0.003142329635517005,-16.30740337167174,81.12798606608354
124.4782871847991,-0.003044809916469004,-15.87777520531592,80.67465762716027
130.9484826496416,-0.003004209813983867,-15.45010636387363,80.2053659425481
137.7549892117851,-0.003039350671286256,-15.02228133285577,79.71781930895042
144.9152878198011,-0.003027811509864077,-14.59741179330444,79.19426822603658
152.4477680558608,-0.002755837329376971,-14.17221219735709,78.65308553278712
160.3717753651518,-0.002950210853280044,-13.75054651660979,78.08308143306093
168.7076607402124,-0.002915102498319512,-13.33097887897943,77.48736964788158
177.4768329877786,-0.003141875208106481,-12.9128928833057,76.86307062498463
186.7018137123879,-0.003160383425891856,-12.49789679491594,76.20836031723931
196.4062951579463,-0.003261759566553212,-12.08450027666673,75.53209996755442
206.6152010558149,-0.002918430196525419,-11.67437757232205,74.81459309503759
217.3547506356884,-0.003027531709266666,-11.26657512330338,74.06981854797601
228.6525259636632,-0.003153499835569746,-10.86203493756669,73.29359656976055
240.53754278044,-0.003184897792550003,-10.46103896167641,72.48327725285043
253.040325021586,-0.003128507337815602,-10.06232945775965,71.63763852291962
266.1929832112537,-0.003267829565382603,-9.668886631303311,70.75285729052409
280.0292969306853,-0.003114760954483595,-9.280100135813411,69.83700994807867
294.5848015733073,-0.002778722519104033,-8.895013623807104,68.88612773356334
309.8968796092259,-0.003001877835117121,-8.515106406230409,67.8977008951185
326.0048565935151,-0.003069669762905123,-8.140253749317004,66.87456254092746
342.9501021648697,-0.002825676036424157,-7.772104059793508,65.81025300072947
360.77613629402,-0.003373792876195925,-7.408954032635338,64.71130342624295
379.5287410547807,-0.003275717428390364,-7.053420436384624,63.57944875071964
399.2560782047888,-0.003154028384581664,-6.703524959638784,62.40648461236862
420.0088128779159,-0.003120260123150633,-6.363245329614651,61.20885893479266
441.8402437060259,-0.003322067248513542,-6.029268032206557,59.9730909330425
464.806439704269,-0.003168281396663062,-5.704144686589093,58.70446467749969
488.9663842714645,-0.002895589167551935,-5.388016283556361,57.40756177467141
514.3821266754142,-0.003331215336911891,-5.080689595373165,56.08097908420417
541.1189414121915,-0.003683483892276129,-4.782632757452019,54.73296249260768
569.2454958486919,-0.003344549938719797,-4.495728360981909,53.35634539552187
598.8340265789893,-0.003501905895229106,-4.217332892410202,51.96160375325805
629.9605249474363,-0.003393952841596374,-3.950199565891143,50.55602957109316
662.7049322149761,-0.00359877427562296,-3.693524393717769,49.12973562558898
697.1513448699036,-0.003607424801310155,-3.448028222035181,47.69271358002717
733.3882306103825,-0.003788443401922927,-3.212803813273462,46.25023872382526
771.5086555534057,-0.003551217789992639,-2.989256032977214,44.80536793718979
811.6105232537354,-0.003754455843993427,-2.776794798783252,43.3597053312724
853.7968261466949,-0.004150877502382238,-2.575271685925409,41.9211612457276
898.1759100605836,-0.0041322404457623,-2.384603101600324,40.48739673743381
944.8617524780447,-0.004229497637687727,-2.204248292039861,39.06497294220956
993.9742552610448,-0.003447919630384363,-2.035438213827215,37.65659319655313
